
Symbol table '.dynsym' contains 2370 entries:
   Num:    Value          Size Type    Bind   Vis      Ndx Name
     0: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT  UND 
     1: 0000000000000000     0 NOTYPE  WEAK   DEFAULT  UND __libpthread_freeres
     2: 0000000000000000     0 OBJECT  GLOBAL DEFAULT  UND _rtld_global@GLIBC_PRIVATE (33)
     3: 0000000000000000     0 OBJECT  GLOBAL DEFAULT  UND __libc_enable_secure@GLIBC_PRIVATE (33)
     4: 0000000000000000     0 FUNC    GLOBAL DEFAULT  UND __tls_get_addr@GLIBC_2.3 (34)
     5: 0000000000000000     0 FUNC    GLOBAL DEFAULT  UND _dl_exception_create@GLIBC_PRIVATE (33)
     6: 0000000000000000     0 OBJECT  GLOBAL DEFAULT  UND _rtld_global_ro@GLIBC_PRIVATE (33)
     7: 0000000000000000     0 FUNC    GLOBAL DEFAULT  UND __tunable_get_val@GLIBC_PRIVATE (33)
     8: 0000000000000000     0 FUNC    GLOBAL DEFAULT  UND _dl_find_dso_for_object@GLIBC_PRIVATE (33)
     9: 0000000000000000     0 NOTYPE  WEAK   DEFAULT  UND _dl_starting_up
    10: 0000000000000000     0 NOTYPE  WEAK   DEFAULT  UND __libdl_freeres
    11: 0000000000000000     0 OBJECT  GLOBAL DEFAULT  UND _dl_argv@GLIBC_PRIVATE (33)
    12: 00000000000a8820    33 FUNC    GLOBAL DEFAULT   15 __strspn_c1@GLIBC_2.2.5
    13: 0000000000086110   352 FUNC    GLOBAL DEFAULT   15 putwchar@@GLIBC_2.2.5
    14: 000000000012f490    20 FUNC    GLOBAL DEFAULT   15 __gethostname_chk@@GLIBC_2.4
    15: 00000000000a8850    44 FUNC    GLOBAL DEFAULT   15 __strspn_c2@GLIBC_2.2.5
    16: 000000000014c520   218 FUNC    GLOBAL DEFAULT   15 setrpcent@@GLIBC_2.2.5
    17: 00000000000c1340    14 FUNC    GLOBAL DEFAULT   15 __wcstod_l@@GLIBC_2.2.5
    18: 00000000000a8880    74 FUNC    GLOBAL DEFAULT   15 __strspn_c3@GLIBC_2.2.5
    19: 000000000011fac0    37 FUNC    GLOBAL DEFAULT   15 epoll_create@@GLIBC_2.3.2
    20: 00000000001027a0    37 FUNC    WEAK   DEFAULT   15 sched_get_priority_min@@GLIBC_2.2.5
    21: 000000000012f4b0    20 FUNC    GLOBAL DEFAULT   15 __getdomainname_chk@@GLIBC_2.4
    22: 000000000011fc70    37 FUNC    GLOBAL DEFAULT   15 klogctl@@GLIBC_2.2.5
    23: 0000000000034480    15 FUNC    GLOBAL DEFAULT   15 __tolower_l@@GLIBC_2.2.5
    24: 0000000000061fe0   183 FUNC    GLOBAL DEFAULT   15 dprintf@@GLIBC_2.2.5
    25: 00000000000e4180   152 FUNC    WEAK   DEFAULT   15 setuid@@GLIBC_2.2.5
    26: 00000000000c6b90  3563 FUNC    GLOBAL DEFAULT   15 __wcscoll_l@@GLIBC_2.2.5
    27: 0000000000122a40   145 FUNC    WEAK   DEFAULT   15 iswalpha@@GLIBC_2.2.5
    28: 0000000000113d90    50 FUNC    GLOBAL DEFAULT   15 __getrlimit@@GLIBC_PRIVATE
    29: 0000000000137b30   128 FUNC    GLOBAL DEFAULT   15 __internal_endnetgrent@@GLIBC_PRIVATE
    30: 0000000000115190    37 FUNC    GLOBAL DEFAULT   15 chroot@@GLIBC_2.2.5
    31: 00000000000d0f40   224 IFUNC   GLOBAL DEFAULT   15 __gettimeofday@@GLIBC_2.2.5
    32: 000000000008e560    44 FUNC    GLOBAL DEFAULT   15 _IO_file_setbuf@@GLIBC_2.2.5
    33: 00000000001ef128     4 OBJECT  WEAK   DEFAULT   35 daylight@@GLIBC_2.2.5
    34: 00000000000d4aa0    68 FUNC    GLOBAL DEFAULT   15 getdate@@GLIBC_2.2.5
    35: 000000000012efc0    49 FUNC    GLOBAL DEFAULT   15 __vswprintf_chk@@GLIBC_2.4
    36: 0000000000090110  1800 FUNC    GLOBAL DEFAULT   15 _IO_file_fopen@@GLIBC_2.2.5
    37: 0000000000094380    43 FUNC    GLOBAL DEFAULT   15 pthread_cond_signal@@GLIBC_2.3.2
    38: 0000000000160af0    43 FUNC    GLOBAL DEFAULT   15 pthread_cond_signal@GLIBC_2.2.5
    39: 0000000000049530    14 FUNC    WEAK   DEFAULT   15 strtoull_l@@GLIBC_2.3.3
    40: 0000000000156190   137 FUNC    GLOBAL DEFAULT   15 xdr_short@@GLIBC_2.2.5
    41: 000000000011bb00   109 FUNC    GLOBAL DEFAULT   15 lfind@@GLIBC_2.2.5
